id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15
7129300520.0,20141013T000000,1,3.0,1.0,1180,5650.0,1.0,0,0.0,3,7,1180.0,0.0,1955,0.0,98178,47.46784982865852,-118.44254763672241,1340.0,5650
6414100192.0,20141209T000000,3,3.0,2.25,2570,7242.0,2.0,0,0.0,3,7,2170.0,400.0,1951,1991.0,98125,47.73928651606112,-118.55678703131599,1690.0,7639
5631500400.0,20150225T000000,1,2.0,1.0,770,10000.0,1.0,0,0.0,3,6,770.0,0.0,1933,0.0,98028,47.57651574304587,-119.4279196286823,2720.0,8062
2487200875.0,20141209T000000,4,4.0,3.0,1960,5000.0,1.0,0,0.0,5,7,1050.0,910.0,1965,,98136,47.520417909445754,-118.59966559928382,1360.0,5000
1954400510.0,20150218T000000,3,3.0,2.0,1680,8080.0,1.0,0,0.0,3,8,1680.0,0.0,1987,0.0,98074,47.717942039387985,-118.41833525675021,1800.0,7503
7237550310.0,20140512T000000,5,4.0,4.5,5420,101930.0,1.0,0,0.0,3,11,3890.0,1530.0,2001,0.0,98053,47.583801631257394,-117.78228549433842,4760.0,101930
1321400060.0,20140627T000000,2,3.0,2.25,1715,6819.0,2.0,0,0.0,3,7,1715.0,0.0,1995,0.0,98003,47.47596192320242,-117.31252749520046,2238.0,6819
2008000270.0,20150115T000000,2,3.0,1.5,1060,9711.0,1.0,0,0.0,3,7,1060.0,0.0,1963,0.0,98198,47.36774127885886,-118.84926599242311,1650.0,9711
,20150415T000000,1,3.0,1.0,1780,7470.0,1.0,0,0.0,3,7,1050.0,730.0,1960,0.0,98146,47.55210198404996,-116.75914811598773,1780.0,8113
3793500160.0,20150312T000000,2,,2.5,1890,,2.0,0,0.0,3,7,1890.0,0.0,2003,0.0,98038,47.05949656548275,-117.9801365281077,2390.0,7570
1736800520.0,20150403T000000,4,3.0,2.5,3560,9796.0,1.0,0,0.0,3,8,1860.0,1700.0,1965,0.0,98007,47.6967061573182,-116.5825374585175,2210.0,8925
9212900260.0,20140527T000000,3,2.0,1.0,1160,6000.0,1.0,0,0.0,4,7,860.0,300.0,1942,0.0,98115,47.77757844194313,-116.78883891158974,1330.0,6000
114101516.0,20140528T000000,2,3.0,1.0,1430,19901.0,1.5,0,0.0,4,7,1430.0,0.0,1927,0.0,98028,47.894709391591,-118.40360781172778,,12697
,20141007T000000,3,3.0,1.75,1370,9680.0,1.0,0,0.0,4,7,1370.0,0.0,1977,0.0,98074,47.467908533695976,-118.93029311112234,1370.0,10208
1175000570.0,20150312T000000,3,5.0,2.0,1810,4850.0,1.5,0,0.0,3,7,1810.0,0.0,1900,0.0,98107,48.167610685153754,-116.57246715847947,1360.0,4850
