date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15
2014-10-13,1,3.0,1.0,1180,5650,1.0,0,0.0,3,7,1180.0,0.0,1955,0.0,98178,47.46784982865852,-118.44254763672241,1340.0,5650
2014-12-09,3,3.0,2.25,2570,7242,2.0,0,0.0,3,7,2170.0,400.0,1951,1991.0,98125,47.739286516061114,-118.55678703131599,1690.0,7639
2015-02-25,1,2.0,1.0,770,10000,1.0,0,0.0,3,6,770.0,0.0,1933,0.0,98028,47.57651574304587,-119.42791962868229,2720.0,8062
2015-02-18,3,3.0,2.0,1680,8080,1.0,0,0.0,3,8,1680.0,0.0,1987,0.0,98074,47.71794203938799,-118.4183352567502,1800.0,7503
2014-05-12,5,4.0,4.5,5420,101930,1.0,0,0.0,3,11,3890.0,1530.0,2001,0.0,98053,47.583801631257394,-117.78228549433841,4760.0,101930
2014-06-27,2,3.0,2.25,1715,6819,2.0,0,0.0,3,7,1715.0,0.0,1995,0.0,98003,47.47596192320242,-117.31252749520046,2238.0,6819
2015-01-15,2,3.0,1.5,1060,9711,1.0,0,0.0,3,7,1060.0,0.0,1963,0.0,98198,47.367741278858865,-118.84926599242313,1650.0,9711
2015-04-15,1,3.0,1.0,1780,7470,1.0,0,0.0,3,7,1050.0,730.0,1960,0.0,98146,47.55210198404996,-116.75914811598773,1780.0,8113
2015-04-03,4,3.0,2.5,3560,9796,1.0,0,0.0,3,8,1860.0,1700.0,1965,0.0,98007,47.696706157318204,-116.58253745851749,2210.0,8925
2014-05-27,3,2.0,1.0,1160,6000,1.0,0,0.0,4,7,860.0,300.0,1942,0.0,98115,47.77757844194313,-116.78883891158974,1330.0,6000
2014-10-07,3,3.0,1.75,1370,9680,1.0,0,0.0,4,7,1370.0,0.0,1977,0.0,98074,47.467908533695976,-118.93029311112234,1370.0,10208
2015-03-12,3,5.0,2.0,1810,4850,1.5,0,0.0,3,7,1810.0,0.0,1900,0.0,98107,48.16761068515376,-116.57246715847948,1360.0,4850
2015-01-24,4,4.0,3.0,2950,5000,2.0,0,3.0,3,9,1980.0,970.0,1979,0.0,98126,47.56440834465838,-117.6029713219642,2140.0,4000
2014-12-05,1,2.0,1.0,1200,9850,1.0,0,0.0,4,7,1200.0,0.0,1921,0.0,98002,47.009041743101704,-118.16311378362481,1060.0,5095
2015-04-24,1,3.0,1.0,1250,9774,1.0,0,0.0,4,7,1250.0,0.0,1969,0.0,98003,46.91045721524291,-117.74619869800017,1280.0,8850
2014-05-14,3,4.0,1.75,1620,4980,1.0,0,0.0,4,7,860.0,760.0,1947,0.0,98133,47.612087062394885,-118.38289024385837,1400.0,4980
2014-05-16,2,2.0,1.5,1070,9643,1.0,0,0.0,3,7,1070.0,0.0,1985,0.0,98030,47.2592481121081,-118.23870474343865,1220.0,8386
2014-11-03,1,3.0,2.0,1710,4697,1.5,0,0.0,5,6,1710.0,0.0,1941,0.0,98002,47.20067364196318,-120.51120588679373,1030.0,4705
2014-06-26,5,3.0,1.75,2450,2691,2.0,0,0.0,3,8,1750.0,700.0,1915,0.0,98119,47.51772094945096,-116.12848217733192,1760.0,3573
2014-12-01,4,3.0,1.0,1400,1581,1.5,0,0.0,5,8,1400.0,0.0,1909,0.0,98112,47.62992534014568,-118.61341900306758,1860.0,3861
2014-06-24,3,3.0,1.75,1520,6380,1.0,0,0.0,3,7,790.0,730.0,1948,0.0,98115,47.9140338307654,-118.63435370775288,1520.0,6235
2015-03-02,4,4.0,2.5,2570,7173,2.0,0,0.0,3,8,2570.0,0.0,2005,0.0,98052,47.45429219886716,-117.91399337534321,2630.0,6026
